raceId,year,circuitId,driverId,constructorId,grid,positionOrder,statusId
18,2008,1,1,1,1,1,1
18,2008,1,2,2,5,2,1
18,2008,1,3,3,7,3,1
18,2008,1,4,4,11,4,1
18,2008,1,5,1,3,5,1
18,2008,1,6,3,13,6,11
18,2008,1,7,5,17,7,5
18,2008,1,8,6,15,8,5
18,2008,1,9,2,2,9,4
18,2008,1,10,7,18,10,3
18,2008,1,11,8,19,11,7
18,2008,1,12,4,20,12,8
18,2008,1,13,6,4,13,5
18,2008,1,14,9,8,14,4
18,2008,1,15,7,6,15,10
18,2008,1,16,10,22,16,9
18,2008,1,17,9,14,17,4
18,2008,1,18,11,12,18,4
18,2008,1,19,8,21,19,4
18,2008,1,20,5,9,20,4
18,2008,1,21,10,16,21,4
18,2008,1,22,11,10,22,2
19,2008,2,8,6,2,1,1
19,2008,2,9,2,4,2,1
19,2008,2,5,1,8,3,1
19,2008,2,15,7,3,4,1
19,2008,2,1,1,9,5,1
19,2008,2,2,2,5,6,1
19,2008,2,17,9,6,7,1
19,2008,2,4,4,7,8,1
19,2008,2,14,9,12,9,1
19,2008,2,18,11,11,10,1
19,2008,2,12,4,13,11,1
19,2008,2,21,10,17,12,11
19,2008,2,22,11,14,13,11
19,2008,2,3,3,16,14,11
19,2008,2,19,8,21,15,11
19,2008,2,11,8,19,16,12
19,2008,2,6,3,22,17,12
19,2008,2,20,5,15,18,5
19,2008,2,13,6,1,19,20
19,2008,2,16,10,20,20,9
19,2008,2,10,7,10,21,4
19,2008,2,7,5,18,22,20
20,2008,3,13,6,2,1,1
20,2008,3,8,6,4,2,1
20,2008,3,9,2,1,3,1
20,2008,3,2,2,6,4,1
20,2008,3,5,1,5,5,1
20,2008,3,15,7,7,6,1
20,2008,3,17,9,11,7,1
20,2008,3,3,3,8,8,1
20,2008,3,10,7,13,9,1
20,2008,3,4,4,10,10,1
20,2008,3,22,11,12,11,1
20,2008,3,21,10,18,12,11
20,2008,3,1,1,3,13,11
20,2008,3,6,3,16,14,11
20,2008,3,7,5,15,15,11
20,2008,3,19,8,21,16,11
20,2008,3,11,8,22,17,11
20,2008,3,14,9,17,18,11
20,2008,3,16,10,20,19,12
20,2008,3,12,4,14,20,6
20,2008,3,18,11,9,21,4
20,2008,3,20,5,19,22,5
21,2008,4,8,6,1,1,1
21,2008,4,13,6,3,2,1
21,2008,4,1,1,5,3,1
21,2008,4,9,2,4,4,1
21,2008,4,17,9,7,5,1
21,2008,4,18,11,13,6,1
21,2008,4,6,3,12,7,1
21,2008,4,15,7,8,8,1
21,2008,4,2,2,9,9,1
21,2008,4,21,10,19,10,11
21,2008,4,10,7,14,11,11
21,2008,4,14,9,17,12,11
21,2008,4,11,8,22,13,11
21,2008,4,3,3,15,14,5
21,2008,4,4,4,2,15,5
21,2008,4,22,11,11,16,4
21,2008,4,5,1,6,17,3
21,2008,4,19,8,21,18,21
21,2008,4,7,5,16,19,4
21,2008,4,12,4,10,20,4
21,2008,4,16,10,20,21,4
21,2008,4,20,5,18,22,4
22,2008,5,13,6,1,1,1
22,2008,5,1,1,3,2,1
22,2008,5,8,6,4,3,1
22,2008,5,9,2,5,4,1
22,2008,5,2,2,9,5,1
22,2008,5,4,4,7,6,1
22,2008,5,17,9,6,7,1
22,2008,5,3,3,11,8,1
22,2008,5,14,9,10,9,1
22,2008,5,15,7,8,10,1
22,2008,5,18,11,13,11,11
22,2008,5,5,1,2,12,11
22,2008,5,10,7,15,13,11
22,2008,5,22,11,12,14,11
22,2008,5,12,4,17,15,11
22,2008,5,16,10,19,16,11
22,2008,5,20,5,14,17,11
22,2008,5,7,5,18,18,22
22,2008,5,6,3,16,19,4
22,2008,5,21,10,20,20,4
23,2008,6,1,1,3,1,1
23,2008,6,9,2,5,2,1
23,2008,6,13,6,1,3,1
23,2008,6,17,9,9,4,1
23,2008,6,20,5,19,5,1
23,2008,6,22,11,14,6,1
23,2008,6,6,3,13,7,1
23,2008,6,5,1,4,8,1
23,2008,6,8,6,2,9,1
23,2008,6,4,4,7,10,11
23,2008,6,18,11,11,11,11
23,2008,6,10,7,10,12,11
23,2008,6,15,7,8,13,11
23,2008,6,2,2,12,14,14
