Model,MAE
CatBoost,2.8443637771216603
HistGradientBoosting,3.1012282137474867
XGBoost,3.1659419536590576
GradientBoosting,3.1707671202664023
LightGBM,3.1799600092061024
RandomForest,3.20476169749728
ExtraTrees,3.3461410297856555
ElasticNet,3.4032948730802035
Lasso,3.458599262761017
Ridge,3.7052240699930556
LinearRegression,3.7885637733803543
AdaBoost,4.1907397817270455
DecisionTree,4.846572361262242
