raceId,year,circuitId,driverId,constructorId,grid,positionOrder,statusId,round,track_type,alt,qualifying_position,is_dnf,circuitRef,status,driver_recent_form,constructor_recent_form,driver_recent_3,driver_recent_10,driver_recent_momentum,constructor_recent_3,constructor_recent_10,constructor_recent_momentum,driver_tracktype_form,constructor_tracktype_form,relative_grid,team_average_form,driver_vs_teammate,driver_circuit_form,constructor_circuit_form,driver_dnf_rate,driver_recent_qualifying_form
833,1950,9,642,51,1,1,1,1,high_speed,153,,0,silverstone,Finished,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.047619047619047616,,0.0,12.794050599798199,12.794050599798199,0.0,11.195826186392225
833,1950,9,786,51,2,2,1,1,high_speed,153,,0,silverstone,Finished,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,1.0,1.0,0.0,12.794050599798199,1.0,0.09523809523809523,,0.0,12.794050599798199,1.0,0.0,11.195826186392225
833,1950,9,686,51,4,3,1,1,high_speed,153,,0,silverstone,Finished,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,1.5,1.5,0.0,12.794050599798199,1.5,0.19047619047619047,,0.0,12.794050599798199,1.5,0.0,11.195826186392225
833,1950,9,704,154,6,4,12,1,high_speed,153,,0,silverstone,+2 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.2857142857142857,,0.0,12.794050599798199,12.794050599798199,0.0,11.195826186392225
833,1950,9,627,154,9,5,12,1,high_speed,153,,0,silverstone,+2 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,4.0,4.0,0.0,12.794050599798199,4.0,0.42857142857142855,,0.0,12.794050599798199,4.0,0.0,11.195826186392225
833,1950,9,619,151,13,6,13,1,high_speed,153,,0,silverstone,+3 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.6190476190476191,,0.0,12.794050599798199,12.794050599798199,0.0,11.195826186392225
833,1950,9,787,151,15,7,13,1,high_speed,153,,0,silverstone,+3 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,6.0,6.0,0.0,12.794050599798199,6.0,0.7142857142857143,,0.0,12.794050599798199,6.0,0.0,11.195826186392225
833,1950,9,741,154,14,8,15,1,high_speed,153,,0,silverstone,+5 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,4.5,4.5,0.0,12.794050599798199,4.5,0.6666666666666666,,0.0,12.794050599798199,4.5,0.0,11.195826186392225
833,1950,9,784,105,16,9,16,1,high_speed,153,,0,silverstone,+6 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.7619047619047619,,0.0,12.794050599798199,12.794050599798199,0.0,11.195826186392225
833,1950,9,778,105,20,10,16,1,high_speed,153,,0,silverstone,+6 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,9.0,9.0,0.0,12.794050599798199,9.0,0.9523809523809523,,0.0,12.794050599798199,9.0,0.0,11.195826186392225
833,1950,9,660,154,21,11,16,1,high_speed,153,,0,silverstone,+6 Laps,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,5.666666666666667,5.666666666666667,0.0,12.794050599798199,5.666666666666667,1.0,,0.0,12.794050599798199,5.666666666666667,0.0,11.195826186392225
833,1950,9,579,51,3,12,44,1,high_speed,153,,1,silverstone,Oil leak,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,2.0,2.0,0.0,12.794050599798199,2.0,0.14285714285714285,,0.0,12.794050599798199,2.0,0.0,11.195826186392225
833,1950,9,776,126,19,13,62,1,high_speed,153,,1,silverstone,Not classified,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.0,12.794050599798199,12.794050599798199,0.9047619047619048,,0.0,12.794050599798199,12.794050599798199,0.0,11.195826186392225
833,1950,9,669,105,5,14,60,1,high_speed,153,,1,silverstone,Out of fuel,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,9.5,9.5,0.0,12.794050599798199,9.5,0.23809523809523808,,0.0,12.794050599798199,9.5,0.0,11.195826186392225
833,1950,9,747,105,18,15,5,1,high_speed,153,,1,silverstone,Engine,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,11.0,11.0,0.0,12.794050599798199,11.0,0.8571428571428571,,0.0,12.794050599798199,11.0,0.0,11.195826186392225
833,1950,9,785,126,17,16,7,1,high_speed,153,,1,silverstone,Transmission,12.794050599798199,12.794050599798199,12.794050599798199,12.794050599798199,0.0,13.0,13.0,0.0,12.794050599798199,13.0,0.8095238095238095,,0.0,12.794050599798199,13.0,0.0,11.195826186392225
