iter	Passed	Remaining
399	23832	5958
400	23888	5897
401	23950	5838
402	24008	5778
403	24113	5729
404	24171	5669
405	24225	5608
406	24281	5548
407	24336	5487
408	24392	5427
409	24450	5367
410	24510	5307
411	24569	5247
412	24625	5187
413	24686	5128
414	24746	5068
415	24805	5008
416	24864	4949
417	24922	4889
418	24982	4829
419	25046	4770
420	25112	4712
421	25174	4653
422	25235	4593
423	25297	4534
424	25356	4474
425	25416	4415
426	25479	4356
427	25541	4296
428	25594	4235
429	25652	4175
430	25709	4115
431	25762	4055
432	25815	3994
433	25870	3934
434	25926	3874
435	25985	3814
436	26055	3756
437	26114	3696
438	26183	3638
439	26239	3578
440	26298	3518
441	26353	3458
442	26409	3398
443	26469	3338
444	26526	3278
445	26583	3218
446	26640	3158
447	26695	3098
448	26747	3038
449	26802	2978
450	26859	2918
451	26913	2858
452	26969	2798
453	27029	2738
454	27085	2678
455	27140	2618
456	27200	2559
457	27259	2499
458	27318	2440
459	27378	2380
460	27436	2321
461	27488	2260
462	27543	2201
463	27600	2141
464	27657	2081
465	27714	2022
466	27769	1962
467	27824	1902
468	27885	1843
469	27945	1783
470	28004	1724
471	28062	1664
472	28119	1605
473	28176	1545
474	28233	1485
475	28290	1426
476	28347	1366
477	28401	1307
478	28457	1247
479	28514	1188
480	28574	1128
481	28635	1069
482	28697	1010
483	28754	950
484	28814	891
485	28871	831
486	28927	772
487	28985	712
488	29045	653
489	29101	593
490	29156	534
491	29215	475
492	29268	415
493	29324	356
494	29377	296
495	29431	237
496	29489	178
497	29546	118
498	29606	59
499	29664	0
